Word,Explanation
בער, השמיד כליל/ חיסל באופן מוחלט  הרס לגמרי/ חסר השכלה
זבן, מוכר בחנות
לבו נקפו, התחרט
מסג, תערובת של מתכות
עגלון, מי שנוהג בעגלה רתומה לסוס או לחמור
בעטיו, בגללו/ באשמתו
גומחה, שקע בקיר
התירא, חש יראה/ פחד/ חשש
ויטלי, חיוני/ שופע חיים
זמורה, ענף של גפן
חבץ, ניער או הניע בחוזקה חלב או שמנת בכלי מיוחד כדי שיהפכו לחמאה
חרך, חריץ בקיר/ אשנב
כלאחר יד, דרך אגב/ בלי כוונה מיוחדת
נהי, מספד/ קינה/ בכי
נחשל, מפגר/ לא מתקדם
מרצע, מכשיר לניקוב חורים
משטמה, שנאה עזה
סורר ומורה, מרדן ועיקש
ערש דוי, כינוי למיטה שהחולה שוכב עליה
שח, כפוף/ שחוח
שצף, זרם חזק/ שטף.
אפסר, רסן/ רתמה
גלב, ספר
הלך, נווד
חפוי, מכוסה/ מצופה
טעם, נימוק/ סיבה/ הסבר
יפחה, קול התייפחות/ יבבה
כסיה, כפפה
לעז, 1. שפה זרה/ 2. דיבה/ שם רע
ממלח, (נאמר על אדם) ערמומי/ שנון/ פיקח/ מתוחכם
משיב נפש, מרענן/ מחיה
סחי, אשפה/ לכלוך
עמיר, צרור קטן של שיבולים
קונטרס, גיליון/ חוברת
רצען, סנדלר
טרוניה, תלונה
שסה, גירה בעל חיים ועורר אותו לתקוף מישהו  הסית ועורר למעשי אלימות
אגד, פלסטר צרור/ חבילה
בלהה, בהלה/ אימה ופחד
העיב, השליט אווירה קודרת
הרעיף, העניק דברים טובים בשפע/ המטיר  השפיע הזיל/ הגיר
וסל, משועבד
חדל אישים, לא יוצלח
נשל, גירש אדם מאדמתו
אנליטי, ביקורתי/ המפריד דבר לחלקיו.
מלגו, מבפנים
בטאון, עיתון או כתב-עת המבטא דעות של קבוצה מסוימת
ביתוק, דקירה/ פילוח/ שיסוע.
ביתר שאת, בעוצמה רבה יותר
בכפיפה אחת, ביחד/ בצוותא
בלב ולב, בחוסר כנות/ בצביעות
במפגיע, בתקיפות/ באסרטיביות.
בעל איברים, שמן
בעל תשובה, חוזר בתשובה
בקיע, סדק/ חריץ
ישב על המדוכה, דן באופן מעמיק/ השתתף בדיון יסודי
נושה, מלווה הדורש את החזרת חובו/ מי שחייבים לו כסף או רכוש
אנשי שלומנו, אנשים הקרובים לנו
אנתרופולוגיה, חקר התפתחות האדם
אסכולה, שיטה/ תורה
אסקופה, סף/ מפתן
אקלקטי, מלוקט/ מקובץ ממקורות שונים.
ארץ גזרה, ארץ רחוקה ונידחת (כעונש/ מהמילה גזרה)
אתוס, האופי/ הרוח/ והגישות האופייניים לעם מסוים  לתקופה מסוימת
בחצי פה, בהיסוס
בחרוק שיניים, התאפקות שלא לחשוף תחושות של רוגז  במאמץ רב
אמיר, צמרת
אמנה, ברית/ חוזה
אמתחת, סל/ שק גדול
אסופי, ילד שנאסף מן הרחוב.
אסיף, איסוף התבואה מן השדה
בחרות, ראשית תקופת הבגרות שבתום תקופת הנעורים.
אף, כעס
אפס, אבל/ אך/ אולם.
ארור, מקולל
אשכול, צרור
אשמאי, חוטא
אשר על כן, לכן
אשרור, אישור נוסף
אשרי, מילת קריאה המדגישה כמה טוב למישהו.
אורחו ורבעו, דרכו ומנהגו
אזוטרי, נסתר/ סודי/ ידוע למעט אנשים
אחז את השור בקרניו, ניגש ישר לעניין
אידיליה, שלווה/ הרמוניה/ פסטורליה.
אין בו מתום, מוכה ופצוע
בין הערבים, לפנות ערב
אין נקי, איש אינו פטור/ ללא יוצא מן הכלל
אינדוקציה, לימוד מהפרט אל הכלל
בית גנזים, ארכיון
אלפס, סיר בישול
אמרכל, מנהל
בכח, ברעיון/ בפוטנציה
בכיה לדורות, על הנזקים שייצור עתידים להצטער במשך דורות
אסל, מוט ששמים על הכתפיים לנשיאת שני דליים.
אספקלריה, נקודת השקפה/ מראה
באור, פירוש/ הסבר
באיבו, בתחילתו/ בצעירותו
בבואה, השתקפות
בביטול, בחוסר הערכה/ בהתעלמות מערכו של משהו.
מגל, מכשיר לקצירת תבואה ועשבים
בבת עין, כינוי לדבר חשוב ויקר לבעליו
מטרונה- מטרונית, אישה מכובדת
בגפו, לבדו
בד בבד, בו זמנית/ במקביל
בדאי, שקרן/ רמאי/ גוזמאי
בדיון, יצירה ספרותית מתארת מציאות בדויה
סגל, שינה והכשיר משהו או מישהו כך שיתאים לנסיבות חדשות  שבהן יהיה מסוגל לתפקד כהלכה
למחוק, למחוק
עבוט, ערבות/ משכון.
עזוז, עוז/ כוח/ גבורה
עקלתון, מעוקל/ מתפתל
פומית, פיה
בדחילו ורחימו, ביראה ובכבוד
אבסורדי, לא הגיוני/ לא נתפס
בכל פה, בתקיפות/ בהדגשה.
רך לבב, פחדן/ מוג לב
על אפו ועל חמתו, למרות שהוא כועס ומתנגד לדבר.
תנה, סיפר/ תיאר באוזני מישהו/ השמיע דברי אבל/ ספד
בזעת אפיו, בעבודה קשה
גבן, אדם שמייצר גבינות
דיוטה, קומה בבניין
הלם, 1. התאים/ 2. הכה/ חבט
היתמר, עלה/ התנשא
חמד (לו) לצון, התלוצץ
יצא חוצץ (נגד מישהו או משהו), יצא ערוך/ דרוך ומוכן יצא כנגד  מתייצב נגד/ מתמרד
לפנים משורת הדין, הקלה בעונש מתוך רחמים או התחשבות בזכויות מיוחדות
מגלה טפח, גילה משהו
ארוכה, שכבת הבשר הבריא העולה על הפצע כשהוא מבריא.
ניצב, ידית של מכשיר חד/ עמד/מתנוסס
סיח, בן סוס/ סוס צעיר
עבות, חבל עבה/ כבל/ סבוך ומסורבל
ארעי, שאינו קבוע/ זמני/ מקרי
צדד, תמך/ נטה לטובת אחד הצדדים המשתתפים בויכוח
צמית, עֶבֶד/ אדם המשועבד לעולם/ קבוע  עתיד להתקיים לצמיתות
אשוש, ביסוס
אשראי, הענקת סחורות או שירותים תמורת הבטחה לתשלום עבורם בעתיד.
רביד, ענק/ תכשיט לצוואר מטפחת לצוואר
אדמת שלחין, קרקע חקלאית בהשקיה מלאכותית.
אהבה אפלטונית, אהבה ללא צד פיסי/ אהבה רוחנית
שחר, 1. פשר/ מובן/ 2. דמדומי בוקר
אריס, אדם המקבל לרשותו קרקע לעיבוד לתקופה מסוימת תמורת אחוז מסוים מהיבול
ארכה, הארכת זמן
אשד, מפל מים
אגן, קערה גדולה/ שטח הנמוך מסביבתו
אדוה, גל קטן
אור יקרות, אור נעים
אזור, חגורה
איד, צרה/ אסון
אימום, תבנית בצורת כף רגל או גוף בעזרתה מייצרים נעליים או בגדים
אוטופיה, רעיון דמיוני שאינו ניתן להגשמה במציאות
אמות הסיפים, העמודים/ התומכים פתח או מבנה מצדדיו. ( סף ברבים)
אמפירי, נסיוני
אני ואפסי עוד, אין דומה לי
בלדר, שליח
בלה, נשחק מרוב שימוש
בלע, מרמה/ שחיתות.
במחי יד, בבת אחת/ בלי מאמץ/ בקלות ובמהירות.
במתק שפתיים, בדיבור מתחנחן
בן תשחורת, צעיר
בעור, סילוק/ השמדה
בעינים כלות, בקוצר רוח
בעל גוף, שמן
בערוב ימיה, בסוף ימיה
בפה מלא, בלי היסוס/ בלב שלם.
בר, חן/ בן/ ראוי/ פראי/ תבואה/ אופי
בר קימא, יציב/ מתקיים לאורך זמן.
בר סמכא, מומחה
סְפָר, גבול
קיטום, הסרת קצה המקור  (במטרה לצמצם את הנזקים העשויים  להופיע כתוצאה מקניבליזם וניקור נוצות בין העופות)
ארייה, קטיף תאנים
סייס, מטפל בסוסים
חרץ לשון, הוציא לשון
ברוד, מכוסה כתמים או נקודות/ מנומר
איבד את עשתונותיו, התבלבל/ נבוך
אבן שאין לה הופכין, דבר שאין בו צורך
אבן שפה, שולי המדרכה
אבק פורח, דבר נטול ערך
אברך, אדם צעיר/ תלמיד ישיבה
אברקיים, מכנסיים קצרים שמגיעים עד לברכיים
אגוז קשה לפיצוח, עקשן/ בעיה סבוכה שקשה לפתורה
אדרה, עצם של דג
אוטוסוגסטיה, שכנוע עצמי
אוטוקרט, שליט יחיד
אוטרקיה, אי תלות בגורמי חוץ
אוליגרכיה, שלטון מיעוט
אונגרד, חלוץ/ מתקדם וחדשני
אופורטוניזם, ניצול הזדמנויות/ התפשרות
אורגני, השייך לגוף החי/ הקשור לדבר קשר אמיץ
אורו עיניו, שמח
אורינטציה, התמצאות במרחב/ זיקה ל
אושפיזין, אורחים
אותיות של טל ומטר, אותיות קטנות מאוד
אחז את החבל (המקל) בשני קצותיו, ניסה להשיג שני דברים מנוגדים בו זמנית  ניסה להרוויח מכל הצדדים
אחיזת עיניים, רמאות/ מעשה להטוטים
אחרי המבול, ביטוי לאדישות לתוצאות ולעתיד
אחרית, סוף/ שארית
איכול, שריפה/ חלודה/ צריכה/שימוש במזון מסוים
איל (ail), כבש זכר
איל (ayal), כוח/ עוז
אין את נפשו, אינו רוצה
אין לו חלק ונחלה, אין לו קשר לדבר
אין נביא בעירו, אדם שאינו זוכה להערכה בסביבתו
אינרציה, התמדה/ שגרה
איסטניס, אנין/ מעודן/ יפה נפש.
איצטגנין, אסטרולוג
איקונין, תמונה
איש בשורה, מי שמביא ידיעות משמחות
איש חרמו, אויבו
אישון, העיגול השחור שבמרכז העין/ מרכז מטרה
איכון, מציאת מקומו המדויק של דבר כלשהו
אכסדרה, אולם כניסה
אל נכון, בלי ספק/ בוודאות
אלה, שבועה חמורה/ קללה
אליה, הזנב השמן של הכבש/ החלק התחתון והרך של האוזן
אלמותי, נצחי
אמבר, מקום אחסון לתבואה
אניץ, סיב של צמח/ חוט צמר
אנפוף, דיבור מהאף/ צורת דיבור שמטרתה ליצור חן בעיני בן הזוג
אנפליאות, נעלי בית
אסוך, כד לנוזלים/ כד לשמן
אסופה, קובץ חיבורים בנושא מסוים
אספסוף, המון
אפיזודה, מאורע בודד
אפס קצהו, רק חלק קטן ממנו
אפר, כר דשא
אפריורי, מראש
ארחי פרחי, נוודים/ קלי דעת ונטולי אחריות
ארעא, ארץ
עפרא דארעא, דבר חסר ערך
אשבול, קנה שסביבו גרגירים או תפרחת
אש וגופרית, דברי גנאי קשים
אשפרה," סיומת/ ""פיניש"""
אשקוקה, שחמט
בא בכף, נלכד
בא עליו במקלו ובתרמילו, התווכח בלהט
באותות ובמופתים, הוכחות חותכות
באפס יד, בקלות
בגרון נטוי, בהתנשאות
בד, שקר/ מסך/ ענף גדול ועבה של עץ
בדוחק, בקושי/ בצמצום
בדלנות, פרישה מן הכלל  מדיניות הדוגלת באי מעורבות בנושאים בינלאומיים
בדם ליבו, בשארית כוחותיו
בדמי ימיו, באמצע חייו
בהבל פיו, ללא כל מאמץ
בהמה גסה, פרות
בהמה דקה, כבשים/ עיזים
בהרת, נמשים
בוצית, סירת דיג קטנה
בוחן כליות ולב, כינוי לאל
בוקה ומבולקה, חורבן מלא
נָצַר אֶת לְשׁוֹנוֹ / פִּיו, השתתק
קְשֵׁה לֵב, חצוף/ חסר בושה/ גס רוח  חסר רחמים
בית קלפים, מבנה/טענה המתבססת על יסודות רעועים
בוקי סריקי, דברי הבל
דיר, 1. מבנה למגורי צאן או חזירים/ 2. מקום מטונף/ מזוהם
הָלַךְ עִמּוֹ בְּקֶרִי," פעל נגדו/ פעל באופן שיעצבן אותו/ ""עשה לו דווקא"""
השיב פנים, סירב
נוח לרצות, סולח מהר/ קל לרצותו
מִיכֵּן, התקין מכונות במקום מסוים לצורך ביצוע  עבודות שעד כה נעשו באופן ידני
בור, שדה לא מעובד/ חסר השכלה
סִיכָה, מריחה בשמן/ משיכה
לקוץ, 1. נגעל/ נבחל/ סלד/ 2. התעורר/ קם משנתו
לימד זכות, אמר דברים לטובתו/ דיבר בשבחו
בור סוד, כינוי לאדם בעל זיכרון מעולה
עָכוּר, עצוב/מדודכך/ לא תקין/משובש
עָמַד עַל דַּעְתוֹ, הפך לבר דעת/ התחיל להבין
בושש, איחר/ התמהמה בעשיית משהו
נוה מדבר, נווה מדבר הוא שטח בלב המדבר  שיש בו מקור מים (כגון מעין).  נופו של נווה המדבר בולט מאוד בסביבתו הצחיחה.  • (נוה זה שטח מרעה עשיר בצמחיה)
נוה, 1. מקום מרעה במדבר/ 2. מקום מגורים/ מעון/ 3. יפה/ נאה
קָתֶדְרָה, יחידה מדעית במוסד להשכלה גבוהה
לעוט, 1. התנפל ממעוף כדי לצוד את טרפו/ 2. התנפל כדי לתפוס משהו
תר, 1. טייל ללא מטרה מוגדרת/ שוטט/ 2. חיפש
מזור, 1. מחלה/ כאב/ 2. רפואה
בזיקה, פיזור/ נצנוץ
הצטדק, הסביר התנהגותו בדיעבד/ תירץ/ ביקש להצדיק עצמו
ממורק, מְנֻקֶּה/ מֻבְרָק
אַרְכּוֹף, טבעת לרגלו של הרוכב/ סד עינויים קדום
בְּשָׂפָה רָפָה, אמר את שאמר בחוסר רצון ומתוך הכרח
עמד במריו, לא נכנע/ לא ויתר/ המשיך להתקומם
הֶאֱבִיס, האכיל בעלי חיים
מיליציה, צבא עממי/ צבא אזרחים
הֶדוֹנִיזְם, נהנתנות/ רדיפת תענוגות
בחל, חש בחילה וגועל/ מאס
בזיך, ספל/ כוס
עביט, 1. כלי לנוזלים/ סיר/ 2. סיר לילה
הִידֵס, הלך בצורה לא יציבה כשהוא נוטה מצד לצד
בטישה, רקיעה ברגליים
אסותא, 1. רפואה/ מרפא/ 2. לבריאות! איחול למי שמתעטש
אונקיה, יחידת משקל קטנה (28~ גרם)  [בהשאלה] מַשהו/ טיפה/ קוּרטוֹב  שמץ/ קַמצוץ/ קורֶט
ליטרה, יחידת משקל (כ-450~ גרם)
לא כל שכן, קל וחומר/ על אחת כמה וכמה
מגיה, 1. מי שתפקידו לבצע הגהה (חיריק ב-ג׳)  2. קסם/ כישוף (שווא ב-ג׳)  3. הפיץ אור/ האיר/ זרח (חיריק ב-ג׳)
חֵלֶב, שומן המצוי בגופם של בעלי חיים
השיב מלחמה שערה, השיב מלחמה באופן שאינו נופל  או אף עולה בעוצמתו על מלחמת האויב
אללי, מילה להבעת כאב/ סבל/ צער וכד׳  מקביל ל- אבוי/ אוי
דוגית, סירת דייגים
טְפָחוֹת, הקורות העליונות של מבנה
כָּאוֹטי, במצב של אי סדר
נעור, התעורר/ קם משנתו
מופז, מצופה זהב/ קיבל גוון זהב/ נוצץ כמו זהב
בטל, עצלן/ חסר ערך
לָטֶנְטי, חבוי/ כמוס/ רדום
מַבּוּעַ, מעיין/ מקור/ יסוד
זכרון דברים, תחליף ראשוני לחוזה מסודר  מטרתו לסכם משא ומתן ראשוני
דומם, בשקט
מצילה, 1. פעמון קטן/ 2. היחיד של מצילתיים -  כלי הקשה ממתכת דמוי צלחת שמקישים  עליו באמצעות מצילה אחרת או במקל
בטן רכה, נקודת התורפה
משוא פנים, העדפה לא הוגנת/ אפלייה
ימה, מערבה/ לכיוון הים  • (ה-ה׳ בסוף מראה כיוון - שאולה/ נגבה)
מַרְבֵּק, מקום בו מפטמים בעלי חיים
דרדק, 1. ילד קטןכינוי לתלמיד בשכבות הנמוכות בבית הספר.  2. כינוי לאדם שאינו מבין בהלכה.  3. בהשאלה: לא מנוסה/ חובבן.
בינארי, מורכב משתי אפשרויות בלבד
סַדָן, הקטע הבולט מן הקרקע של העץ לאחר שנכרת/ גדם/ גדע
עָרַג, זעק/ התחנן
אוצר, שומר על משהו יקר ערך
הבליג, ריסן את עצמו/התאפק/ נמנע מלבטא רגע כלשהו
נֶגֶף, מחלה קשה המפילה רבים
צִיקְלוֹן, סופה/ ילקוט
גְּמִילָה, הבשלת הפרי
הִשְׁכִּין, נתן מקום מגורים/ יישב/ אכלס
צָפִיר, תיש
חַבּוּט, מוכה
הִתְחַסֵּד, נהג ברחמנות
יֵשׁ בְּלִבּוֹ עָלָיו, לא סלח
לִבֵּן, חימם מתכת באש חזקה/ בירר את העניין לעומקו
מִכְמָן, מטמון/ אוצר
נָמוֹג, מפוחד מאוד/ מבוהל
ביצור, חיזוק/ מבצר/מצודה
עָלוּם, מוסתר/חסוי/ לא מובן
פָּרַע, הרס/ בזז
תַּגְּרָן, כינוי למי שמרבה להתווכח על המחיר/ סוחר
הֵקִיץ הַקֵץ, הגיע הסוף למשהו/ תם
חַתְרָנוּת, לחתור תחת מישהו/ פעילות שמטרתה  לערער מבפנים את הסדר הקיים
שִׁבֹּלֶת, גבעול התבואה עצמו/ מערבולת
שָׂפַת, שם כלי לחימום על האש
שָׁפָל, נמוך/קטן/ נבזה/מנוול
דיוֹתָה, כלי קיבול לדיו
בירנית, מבצר/מצודה
מַקְרֵן, רדיאטור
בישוף, מראשי הכמרים בכנסייה
סָפוּן, צפון/ נסתר
הֵזֵם, הוכיח כי דבריו של אחר אינם נכונים
ביכורים, ראשית התבואה
קֵהֶה, עמום/מעורפל/ שאינו בשל/בוסר
חִילָּה אֶת פָּנָיו, התחנן
תָּמַהּ, הטיל ספק/ התחבט לגבי נכונותו של הדבר
בלא חמדה, בלי חשק
מַגְלֵב, שוט
מוּשְׂכָּל רִאשׁוֹן, הנחת יסוד שאינה ניתנת להוכחה  אולם מתייחסים אליה כאילו היא נכונה ולא ניתנת לערעור
בלבוס, תפוח אדמה
הוֹלֵך עַל קֶרַח דַּק, נמצא במצב קשה ומסוכן תחת  נסיבות שאינן לחלוטין בשליטתו
בלדה, שיר עצוב
חֲדַל פֵּרָעוֹן, מי שלא מסוגל לשלם את חובו
מַשְכּוּכִית, כינוי לאייל המושך את העדר אחריו
בלי מצרים, ללא גבולות
נִצְרָך, אדם עני שזקוק לעזרה
כּוֹתֶרֶת, העלים הצבעוניים של הפרח
תלוי על בלימה, חסר בסיס
מִיטַת סְדוֹם, מקום או מצב שאין בו חופש פעולה
עוֹקֵר הָרִים, בעל שכל חריף
מַשְׂכִּית, קישוט/תכשיט/ ציור/תמונה
עַפְרָה, סלע המכיל מתכת/ מחצב
קִבּוֹרֶת, שריר הזרוע
קִיתוֹן, כד/ כלי לנוזלים
שָׁדוּף, ריק/ חסר תוכן
קוֹרֶקְטִי, נאות/ ענייני
אִילוּחַ, זיהום/ מוגלה
בליסטרה, מרגמה
דֶּחִי, כישלון/ מעידה
הִגִיר, שפך/ הזיל
הוֹקִיעַ, המית מישהו בפומבי בצליבה או בתלייה
בליץ, התקפה פתאומית
הִשְלִיך אַחֲרֵי גֵּווֹ, התנער ממנו והתכחש לקשר אליו  הפנה לו עורף (גֵּווֹ=גופו)
הִכָּה שׁוֹרֵש, נעשה נפוץ ורווח
בלן, עובד במקווה
יוֹקֵב, בעל יקב
מָט, זז במקום בחוסר יציבות/ מטושטש/עמום
מְעוּשֶׂה, לא אמיתי/ מזויף
כָּפַן, רעב
נִמְלַךְ בּוֹ, התייעץ איתו
במצח נחושה, בעקשנות/ בחוצפה
סָר, פקד/ בא לבקר
סִרְהֵב, הפציר/ביקש/ לא הסכים
מְהֻקְצָע, מסוגנן/ אלגנטי
מִזְקָקָה, מקום לזיקוק ולהכנת משקאות חריפים
בן אבות, מיוחס
מִסּוּך, שיבוש והחלשת שדות חשמליים
בן בלי שם, בעל מעמד נחות/ אלמוני/ רשע
מַק, ריקבון
בָּלוּם, מלא עד הסוף/ עשיר/ עמוס ב
מִשְׂגָּב, מקום גבוה שמשמש כמחסה/ מצודה
הִכָּה גַּלִּים, הביא לשינוי משמעותי בחשיבה המקובלת
בן נעות המרדות, חצוף ומרדן
זָב, מטפטף/ נוזל
נָהָה, רצה מאוד/ השתוקק
בנוי לתלפיות, בנוי היטב
מַאְפֵּלְיָה, מקום משכנו של הרשע/ אפלה
נֵצֶר, ענף רך/ צאצא
בסך, ביחד
מַחְבֵּצָה, כלי מיוחד ששימש להכנת מוצרי חלב כמו גבינה או חמאה
נִשְפֶּה, חלק ותלול
מָסַךְ, מזג/ ערבב משקה במשקה
בעדנא דרחתא, בשעת כעס
בעיני רוחו, בדמיונו
מִשְׁוֶרֶת, טבעת לרגל בצד האוכף
פיד, אסון/ צרה
נְחִירָה, המתת בעלי חיים על ידי דקירה
צְדִיָּה, כוונה רעה/ זדון
נָצַר, שמר/ הגן
קולן, מכשיר המשמש לכיוון כלי נגינה
סַד, כלי עינויים קדום
עֲזוּבָה, מצב של הרס והזנחה
קַנְטְרָן, סכסכן/ שדרכו לקנטר ולהרגיז
בעל בעמיו, אדם תקיף ונכבד
קַרְפִּיף, שטח מגודר
בעליל, ללא ספק
קַפַּנְדְּרִיָּה, דרך קיצור
רָהוּי, הססני/ חסר ביטחון.
רָגַן, התלונן
בעלמא, סתם
רינן, שר/ ריכל
רָקַח, המציא (סיפור לא אמיתי)/ הכין תכנית (בהקשר שלילי)
שִׁגָיוֹן, מחשבה שאינה מרפה
שִׁהוּי, עיכוב/ איחור
שָׁזַף, ראה/הביט/ שרף/צרב
שִׁיפּוּי, השחזה
שְׁתַדְלָן, מי שמנסה לשכנע אנשים לעשות דבר מה
תַּאֲנִיָּה וַאֲנִיָּה, בכי מר על אסון
תִּחוּחַ, פירור אדמה על-ידי עידור.
אֶבֶן הָרֹאשָׁה, האבן שבמרכז הקשת/ מרכזי/חיוני
אַפִּרְיוֹן, כינוי לבית הקדש/ חופה עשויה אריג
אָצַר, העלים/ החביא / הסתיר
אֹרַח, אופן התנהגות/ דרך חיים
גֹּב, בור/ מאורה
דוֹמֶן, זבל אורגני
הִתְרִיס, מחה/ התנגד
חִדָלוֹן, חורבן/ הרס
חֲפָתִים, כינוי לקפל בשרוול/ החלק החיצוני בשרוול
טֶלֶף, פרסה
מְדוּכָה, גליל המשמש לשיגור מטעני נפץ  קערה המשמשת לכתישה בעזרת עלי (מוט בצורת גליל)
מַחַט, עלה צר/ קינח את האף
מִקַּדְמַת דְּנָא, מאז ומתמיד
מִשְׁבָּר, גל
נִדְרַשׁ, עסק בעניין מסוים
נְהָרָה, אור/ זוהר
סָנַט, לעג/ הקניט/ התגרה
פָּרִיץ, חסר מוסר/ בעל אחוזה
צַלְיָן, עולה לרגל
קְבָס / קֶבֶס, בחילה/ גועל
קִיפֵּחַ, שכל/איבד/ הפלה לרעה/ גבוה מאוד
קְנוֹקֶנֶת, איבר בצמח הדומה לחוט אשר נכרך  סביב עצמים ומאפשר לצמח לטפס
שָׁעָה, התייחס/ שם לב
תַּבְלִיט, צורת פני האדמה
תּוֹחֶלֶת, תקווה/סיכוי/ ממוצע משוקלל של מספר תוצאות
תִּינָּה, התאבל/ עשה/ סיפר
אוֹטוֹרִיטָה, סמכות הנובעת מידע בתחום מסוים
הֶאֱפִיל, עלה עליו ביכולתו
הִסְתּוֹפֵף, שהה באופן ממושך במקום מסוים או בחברת אנשים מסוימים
הֶעֱרָה, גילה/חשף/ שתה/לגם
הִצְמִית, השמיד
הִרְעִים, הרגיז
התקין, הכין/סידר/יצר/ קבע תקנה
כָּפַר, לא הסכים עם דבר מקובל  לא הודה באשמות המיוחסות לו
לָחַך, נגע קלות/ שרף לחלוטין
לִפְנַי וְלִפְנִים, באופן יסודי ומעמיק
מְלוּבָּן, מובהר/ מוסבר/ מפורש
מַעֲקָשׁ, מכשול/סיבוך/ מפותל
נָאוֹת, מתאים/ ראוי/ הולם
נִכְמַר לִבּוֹ, ריחם
